URL	
https://www.apartments.com/12-commonwealth-ave-boston-ma-unit-fl3-id900/43sl21l/	"""https://www.apartments.com/12-commonwealth-ave-boston-ma-unit-fl3-id900/43sl21l/"","
https://www.apartments.com/12-commonwealth-boston-ma/b40nw38/	"""https://www.apartments.com/12-commonwealth-boston-ma/b40nw38/"","
https://www.apartments.com/12-elko-st-boston-ma-unit-fl1-id68/zsf30hx/	"""https://www.apartments.com/12-elko-st-boston-ma-unit-fl1-id68/zsf30hx/"","
https://www.apartments.com/12-elko-st-boston-ma-unit-fl2-id273/5724dtn/	"""https://www.apartments.com/12-elko-st-boston-ma-unit-fl2-id273/5724dtn/"","
https://www.apartments.com/12-foster-st-boston-ma-unit-fl1-id447/c2rh5bd/	"""https://www.apartments.com/12-foster-st-boston-ma-unit-fl1-id447/c2rh5bd/"","
https://www.apartments.com/12-foster-st-boston-ma-unit-fl2-id446/zh6qt2w/	"""https://www.apartments.com/12-foster-st-boston-ma-unit-fl2-id446/zh6qt2w/"","
https://www.apartments.com/12-foster-st-boston-ma-unit-fl3-id448/r2ssx12/	"""https://www.apartments.com/12-foster-st-boston-ma-unit-fl3-id448/r2ssx12/"","
https://www.apartments.com/12-foster-st-boston-ma-unit-fl4-id449/89ps573/	"""https://www.apartments.com/12-foster-st-boston-ma-unit-fl4-id449/89ps573/"","
https://www.apartments.com/120-kingston-st-boston-ma-unit-fl20-id620/09c7j41/	"""https://www.apartments.com/120-kingston-st-boston-ma-unit-fl20-id620/09c7j41/"","
https://www.apartments.com/120-kingston-st-boston-ma-unit-fl21-id832/tm4f6kb/	"""https://www.apartments.com/120-kingston-st-boston-ma-unit-fl21-id832/tm4f6kb/"","
https://www.apartments.com/120-kingston-st-boston-ma-unit-fl22-id621/f16g7ss/	"""https://www.apartments.com/120-kingston-st-boston-ma-unit-fl22-id621/f16g7ss/"","
https://www.apartments.com/120-kingston-st-boston-ma-unit-fl8-id245/fkeqddt/	"""https://www.apartments.com/120-kingston-st-boston-ma-unit-fl8-id245/fkeqddt/"","
https://www.apartments.com/120-kingston-st-boston-ma-unit-fl9-id246/546f7bp/	"""https://www.apartments.com/120-kingston-st-boston-ma-unit-fl9-id246/546f7bp/"","
https://www.apartments.com/121-salem-street-boston-ma-unit-2d/hkq78z3/	"""https://www.apartments.com/121-salem-street-boston-ma-unit-2d/hkq78z3/"","
https://www.apartments.com/1220-adams-st-boston-ma-unit-fl3-id471/51lp19p/	"""https://www.apartments.com/1220-adams-st-boston-ma-unit-fl3-id471/51lp19p/"","
https://www.apartments.com/1220-adams-st-boston-ma-unit-fl3-id472/4v5ptsl/	"""https://www.apartments.com/1220-adams-st-boston-ma-unit-fl3-id472/4v5ptsl/"","
https://www.apartments.com/1220-adams-st-boston-ma-unit-fl3-id590/kfmqk7c/	"""https://www.apartments.com/1220-adams-st-boston-ma-unit-fl3-id590/kfmqk7c/"","
https://www.apartments.com/125-warren-boston-ma/vy4qpmf/	"""https://www.apartments.com/125-warren-boston-ma/vy4qpmf/"","
https://www.apartments.com/129-franklin-st-cambridge-ma-unit-fl0-id815/8xhe5n0/	"""https://www.apartments.com/129-franklin-st-cambridge-ma-unit-fl0-id815/8xhe5n0/"","
https://www.apartments.com/130-bowdoin-st-boston-ma-unit-6021279686/xh483bp/	"""https://www.apartments.com/130-bowdoin-st-boston-ma-unit-6021279686/xh483bp/"","
https://www.apartments.com/131-seaport-blvd-boston-ma-unit-16091277285/sgrjj16/	"""https://www.apartments.com/131-seaport-blvd-boston-ma-unit-16091277285/sgrjj16/"","
